priority,clinic,doctor,area,type,address,phone,email,batch_code,status,source
A,Dental Solutions,"Dr. Balasubramanya K V / Dr. Ramya Balasubramanya",Indiranagar,independent,"1st Floor, 498, 15th Cross Road, 2nd Stage, Indiranagar, Bengaluru 560038","+91 6364312444 / +91 8041100376",drbalu2002@dsblr.com,,address from clinic website — confirm on Maps before courier,dentalsolutionsclinic.com
A,Dr C Jagadeesh's Dental Clinic,Dr. C Jagadeesh,Indiranagar,independent,"687, 9th A Main Rd, Near Chinmaya Mission Hospital, 1st Stage, Defence Colony, Indiranagar, Bengaluru 560038","+91 8197093444 / 080-4115 3444",drcjagadeeshdentalclinic@gmail.com,,address from directory listings — confirm on Maps before courier,drcjagadeesh.com / hexahealth / justdial
A,Dr. Paul's Dental Health Care,Dr. Paul,Indiranagar (New Thippasandra),independent,"#320, 4th Cross Road, 8th Main Road, Jeevan Bhima Nagar Main Road, HAL 3rd Stage, New Thippasandra, Bengaluru 560075","080-2527 5912 / +91 99164 70525",,,address from clinic website — confirm on Maps before courier,drpaulsdentalhealth.com
A,Narayana Super Speciality Dental & Implant Centre,(fill from site),Indiranagar 100 Ft Rd (4 branches: + Domlur ESI / KR Puram / Jayanagar 8th Blk),independent multi-branch — possible Professional pitch,"869, 5th Cross Road, 5th Main, behind 100 Feet Road, opp. Spastic Society of India, Indiranagar 1st Stage, Bengaluru 560038","+91 9008300001 / 8151010203",care@narayanadental.com,,one kit to 100 Ft Rd branch covers the group — confirm on Maps,narayanadental.com
A,Roots and Grins Dental Clinic,Dr. Husena Zain Naseem,Indiranagar (HAL 2nd Stage),independent,"3037, 8th Main Road, HAL 2nd Stage, opp. Bata showroom, Indiranagar, Bengaluru 560038",,,,address from Justdial — confirm on Maps before courier,rootsandgrinsdental.com / Justdial
A,Reginolds Dental Clinic,Dr. Arthur Reginold,Koramangala 5th Block,independent,"168, 17th C Main Road, KHB Colony, 5th Block, Koramangala, Bengaluru","+91 9886067262 / 080-25523824",regiarthur@hotmail.com,,address from directory listings — confirm on Maps before courier,reginoldsdental.com / Justdial / Lybrate
A,Chisel Dental Clinic,(fill from site),Koramangala,independent,"No 18, 1st Main, 1st Block Koramangala, Jakkasandra Extension, Near Wipro Park, Bengaluru 560034","080-25524249 / 9986560009 / 9900370009",chiseldentalclinics@gmail.com,,address from clinic website — confirm on Maps before courier,chiseldental.co.in
A,Sky Dental Clinic (Koramangala),Dr. Akash C L,Koramangala 4th Block,independent (4 branches),"618, 80 Feet Rd, Near Maharaja Signal, 4th Block, Koramangala, Bengaluru 560034",+91 9353248386,skydentalhealthclinic@gmail.com,,address from clinic website — confirm on Maps before courier,skydentalclinics.com
B,Sky Dental Clinic (Kothanur),Dr. Akash C L,Kothanur,independent branch,"No.50/8A/3, JNR Complex, Gubbi Cross, Hennur Bagalur Main Rd, opp. Biozen Park, Kothanur, Bengaluru 560077",+91 9353248386,skydentalhealthclinic@gmail.com,,one kit per group HQ is enough — courier to Koramangala first,skydentalclinics.com
A,Dr. Sathya's Speciality Dental Care & Implant Centre,Dr. Sathya,Koramangala 6th Block,independent,"#402, 18th Main, 6th Block, Beside Devi Eye Hospital, Koramangala, Bengaluru 560095","080-41234545 / 080-41230252 / 9902099433",drsathyablr@gmail.com,,address from clinic website — confirm on Maps before courier,drsathyasdentalcare.com
B,Cosmetic Dental Clinics,Dr. Shilpa R. Shetty,Koramangala 5th Block,independent,"#208, 17th E Main, 5th Block, Koramangala, Bengaluru 560095","+91 9448061370 / 080-25501550",drshilpashetty@gmail.com,,address from clinic website — confirm on Maps before courier,cosmeticdentalclinics.in
B,DDC Smiles (Dental Diagnostic Centre),(fill from site),Koramangala 1st Block,independent,"#6-7, Jai Plaza I, 80 Feet Road, 1st Block, Koramangala, Bengaluru 560034","+91 90087 09973 / 080-255 29197",dentaldiagnosticcentre@gmail.com,,address from clinic website — confirm on Maps before courier,ddcsmiles.in
B,Nishat Multi-Speciality Dental Clinic,(fill from Practo),Koramangala 4th Block,independent,"Koramangala 4th Block (street address on Practo listing — LOOK UP)",,,,partial — get street address from Practo/Maps before courier,Practo / Instagram nishatdental
A,Sharan Dental Clinic,Dr. Navin,HSR Layout / Koramangala (conflicting listings),independent,"222, 5th Main, Teachers Colony, Koramangala, Bengaluru 560034 (listing conflicts with 'HSR Layout' claim — VERIFY)",,,,CONFLICTING addresses across listings — must verify on Maps/phone,sharandental.in / mappls
A,HSR Dental Booth,Dr. Jalpa,HSR Layout Sector 6,independent,"255, Royal Heights, 17th Cross Road, Sector 6, HSR Layout, Bengaluru 560102",+91 7373736215,hsrdentalbooth@gmail.com,,address from clinic website — confirm on Maps before courier,hsrdentalbooth.com
